name,z,ra,dec,mu,mu_err
ASAS15hx,0.0083,205.8195,-31.556,32.40145533536312,0.012247253092024114
SNhunt281,0.0041,226.3753,1.634,32.407904619553825,0.01652055708146751
SN2005hc,0.0459,29.1998,-0.2137,36.494445442708034,0.009627842436637293
SN2012fr,0.0055,53.4004,-36.1261,31.239122748953463,0.010956827525728704
SN2005kc,0.0151,338.5306,5.5684,33.93513795238488,0.023216659617330593
SN2006kf,0.0213,55.4603,8.1569,34.80967966132737,0.016653926818856704
SN2005ki,0.0192,160.1176,9.2023,34.65746159335861,0.009377184605206963
SN2012hd,0.0119,18.5311,-32.6521,33.48682998403851,0.018967293989709706
SN2004eo,0.0157,308.2258,9.9285,33.804437812953985,0.01986947633219018
PTF14w,0.0189,180.8804,2.0428,34.796897965206924,0.009176828182993986
SN2013gy,0.014,55.5703,-4.7218,33.640041586725424,0.01618494324009728
ASAS15bm,0.0208,226.4649,-5.627,34.48048592075887,0.0194531925432327
SN2007af,0.0055,215.5876,-0.3938,31.98332277556546,0.016327645168836568
SN2012ht,0.0036,163.3448,16.7764,32.08170841328685,0.00968966505566539
SN2006hx,0.0455,18.4888,0.3717,36.2435073836258,0.06624466967490945
SN2005M,0.022,144.3848,23.2007,35.13655662568462,0.004267481337238436
SN2009ab,0.0112,64.1516,2.7642,33.6131837993303,0.016564853790535405
SN2008ar,0.0261,186.158,10.8382,35.2097205929959,0.023613325603965944
SN2013aj,0.0091,208.5028,-7.9288,32.98573158130111,0.011223624046994021
SN2007ca,0.0141,202.7742,-15.1018,34.31740683920489,0.018536478302280706
SN2008hj,0.0379,1.008,-11.1687,35.90387667742431,0.010867475526549365
ASAS14lw,0.0209,16.7049,-46.9833,34.867173194065195,0.030368861575259736
PTF13ebh,0.0133,35.4999,33.2705,33.44156067336925,0.015151153743357801
ASAS14hu,0.0216,100.8622,-69.6374,34.695592019732516,0.016966434339986538
SN2006et,0.0222,10.6909,-23.5584,34.74126636331638,0.011514944028739958
SN2012hr,0.0076,95.4102,-59.7141,32.743251036918906,0.010503420603912416
SN2007on,0.0065,54.7121,-35.575,31.552937852463778,0.020265432058565697
SN2009aa,0.0273,170.9262,-22.2707,35.3368741462482,0.01182933666241468
SN2008fp,0.0057,109.1358,-29.3255,32.01833271433059,0.01984576689389944
SN2012gm,0.0148,349.4043,14.0025,33.94082541898439,0.007107371679346723
ASAS14lp,0.0051,191.2879,-0.459,30.75861229751698,0.013859778350805962
SN2005el,0.0149,77.953,5.1943,34.114084356551814,0.01470350271258092
SN2009ds,0.0192,177.2671,-9.7291,34.388146187166804,0.0238125369514383
SN2013M,0.0349,209.9862,-37.8637,35.51123999212397,0.016842636079772606
LSQ13ry,0.0298,158.2,4.1977,35.6781008343499,0.012292181021801372
SN2015F,0.0049,114.0657,-69.5064,31.46616400374354,0.014861024033699063
SN2008bc,0.0151,144.6301,-63.9738,34.04050957890303,0.01198295215367749
SN2008hv,0.0125,136.8919,3.3923,33.84136074821891,0.013655216400385124
ASAS14mw,0.0274,25.3548,-65.617,35.149540303324414,0.01441899333353102
SN2007bd,0.031,127.8887,-1.1994,35.56540076110348,0.021493224950614374
SN2008gp,0.0334,50.753,1.3619,35.66727121535709,0.022251077502964418
SN2014I,0.03,85.5825,-25.5444,35.29621692825275,0.012977216499313165
SN2007le,0.0067,354.7017,-6.5226,32.229303477388356,0.012080253864287457
SN2011iv,0.0065,54.7139,-35.5922,31.1375699557966,0.0156361777120082
SN2006X,0.0052,185.725,15.8092,31.14826289579698,0.02415912397643689
SN2008bf,0.0235,181.0121,20.2452,35.03514310391125,0.011265996797383547
ASAS14my,0.0205,174.6249,-8.9766,34.50317887856105,0.01824600130580842
SN2007S,0.0139,150.1302,4.4073,33.94137055057374,0.02327124529571511
SN2006ax,0.0167,171.0144,-12.2914,34.32733389785859,0.013976442683994995
